,playerId,action_season,name,team,action_date
172,8471214,2023,Alex Ovechkin,WSH,2023-06-28
173,8481656,2023,Aliaksei Protas,WSH,2023-06-28
174,8475958,2023,Michael Sgarbossa,WSH,2023-06-28
175,8478440,2023,Dylan Strome,WSH,2023-06-28
176,8476880,2023,Tom Wilson,WSH,2023-06-28
177,8480823,2023,Alexander Alexeyev,WSH,2023-06-28
178,8478451,2023,Ethan Bear,WSH,2023-06-28
179,8474590,2023,John Carlson,WSH,2023-06-28
180,8480796,2023,Martin Fehervary,WSH,2023-06-28
181,8475324,2023,Nick Jensen,WSH,2023-06-28
182,8480873,2023,Rasmus Sandin,WSH,2023-06-28
183,8477845,2023,Trevor van Riemsdyk,WSH,2023-06-28
184,8479292,2023,Charlie Lindgren,WSH,2023-06-28
185,8480313,2023,Logan Thompson,WSH,2023-06-28
186,8482496,2023,Nils Aman,VAN,2023-06-28
187,8483395,2023,Arshdeep Bains,VAN,2023-06-28
188,8476927,2023,Teddy Blueger,VAN,2023-06-28
189,8478444,2023,Brock Boeser,VAN,2023-06-28
190,8476858,2023,Phillip Di Giuseppe,VAN,2023-06-28
191,8478856,2023,Conor Garland,VAN,2023-06-28
192,8481535,2023,Nils Hoglander,VAN,2023-06-28
193,8478057,2023,Dakota Joshua,VAN,2023-06-28
194,8481024,2023,Linus Karlsson,VAN,2023-06-28
195,8482918,2023,Danila Klimovich,VAN,2023-06-28
196,8483476,2023,Jonathan Lekkerimaki,VAN,2023-06-28
197,8476468,2023,J.T. Miller,VAN,2023-06-28
198,8480012,2023,Elias Pettersson,VAN,2023-06-28
199,8481617,2023,Vasily Podkolzin,VAN,2023-06-28
200,8482691,2023,Aatu Raty,VAN,2023-06-28
201,8484136,2023,Max Sasson,VAN,2023-06-28
202,8480459,2023,Pius Suter,VAN,2023-06-28
203,8478017,2023,Mark Friedman,VAN,2023-06-28
204,8479425,2023,Filip Hronek,VAN,2023-06-28
205,8480800,2023,Quinn Hughes,VAN,2023-06-28
206,8478454,2023,Noah Juulsen,VAN,2023-06-28
207,8484287,2023,Cole McWard,VAN,2023-06-28
208,8474574,2023,Tyler Myers,VAN,2023-06-28
209,8483678,2023,Elias Pettersson,VAN,2023-06-28
210,8477359,2023,Tucker Poolman,VAN,2023-06-28
211,8477369,2023,Carson Soucy,VAN,2023-06-28
212,8478846,2023,Christian Wolanin,VAN,2023-06-28
213,8477967,2023,Thatcher Demko,VAN,2023-06-28
214,8481668,2023,Arturs Silovs,VAN,2023-06-28
215,8484268,2023,Nikita Tolopilo,VAN,2023-06-28
216,8479525,2023,Ross Colton,COL,2023-06-28
217,8482147,2023,Jean-Luc Foudy,COL,2023-06-28
218,8481042,2023,Nikolai Kovalenko,COL,2023-06-28
219,8477476,2023,Artturi Lehkonen,COL,2023-06-28
220,8477492,2023,Nathan MacKinnon,COL,2023-06-28
221,8479999,2023,Casey Mittelstadt,COL,2023-06-28
222,8481186,2023,Logan O'Connor,COL,2023-06-28
223,8478420,2023,Mikko Rantanen,COL,2023-06-28
224,8475780,2023,Chris Wagner,COL,2023-06-28
