,playerId,name,season_type,situation,action_season,action_date,gamescore_toi
116,8471698,T.J. Oshie,playoffs,all,2014,2014-06-13,596.0
117,8471699,Andrew Cogliano,playoffs,all,2014,2014-06-13,658.0
118,8471702,Matt Niskanen,playoffs,all,2014,2014-06-13,550.0
119,8471703,Steve Downie,playoffs,all,2014,2014-06-13,632.0
120,8471707,James Neal,playoffs,all,2014,2014-06-13,676.0
121,8471710,Taylor Chorney,playoffs,all,2014,2014-06-13,540.0
122,8471716,Justin Abdelkader,playoffs,all,2014,2014-06-13,606.0
123,8471729,Kris Russell,playoffs,all,2014,2014-06-13,522.0
124,8471735,Keith Yandle,playoffs,all,2014,2014-06-13,624.0
125,8471742,Cody Franson,playoffs,all,2014,2014-06-13,606.0
126,8471769,Niklas Hjalmarsson,playoffs,all,2014,2014-06-13,534.0
127,8471794,Darren Helm,playoffs,all,2014,2014-06-13,572.0
128,8471817,Ryan Reaves,playoffs,all,2014,2014-06-13,636.0
129,8471873,Anton Stralman,playoffs,all,2014,2014-06-13,578.0
130,8471879,Kyle Cumiskey,playoffs,all,2014,2014-06-13,508.0
131,8471887,Patric Hornqvist,playoffs,all,2014,2014-06-13,664.0
132,8471956,Andrew Desjardins,playoffs,all,2014,2014-06-13,546.0
133,8471958,Dan Girardi,playoffs,all,2014,2014-06-13,548.0
134,8471976,David Desharnais,playoffs,all,2014,2014-06-13,572.0
135,8473412,Bryan Little,playoffs,all,2014,2014-06-13,634.0
136,8473432,Derek Dorsett,playoffs,all,2014,2014-06-13,532.0
137,8473449,Kyle Okposo,playoffs,all,2014,2014-06-13,586.0
138,8473468,Eric Gryba,playoffs,all,2014,2014-06-13,500.0
139,8473482,Jiri Tlusty,playoffs,all,2014,2014-06-13,450.0
140,8473485,Chris Stewart,playoffs,all,2014,2014-06-13,498.0
141,8473492,Matt Beleskey,playoffs,all,2014,2014-06-13,640.0
142,8473504,Cal Clutterbuck,playoffs,all,2014,2014-06-13,644.0
143,8473507,Jeff Petry,playoffs,all,2014,2014-06-13,586.0
144,8473534,Patrik Berglund,playoffs,all,2014,2014-06-13,704.0
145,8473536,James Sheppard,playoffs,all,2014,2014-06-13,556.0
146,8473537,Viktor Stalberg,playoffs,all,2014,2014-06-13,614.0
147,8473544,Derick Brassard,playoffs,all,2014,2014-06-13,672.0
148,8473563,Nicklas Backstrom,playoffs,all,2014,2014-06-13,612.0
149,8473564,Michael Frolik,playoffs,all,2014,2014-06-13,572.0
150,8473565,Brian Strait,playoffs,all,2014,2014-06-13,460.0
151,8473574,Shawn Matthias,playoffs,all,2014,2014-06-13,554.0
152,8473579,Nikolay Kulemin,playoffs,all,2014,2014-06-13,546.0
153,8473588,Erik Condra,playoffs,all,2014,2014-06-13,588.0
154,8473604,Jonathan Toews,playoffs,all,2014,2014-06-13,660.0
155,8473658,Victor Bartley,playoffs,all,2014,2014-06-13,546.0
156,8473673,David Schlemko,playoffs,all,2014,2014-06-13,580.0
157,8473933,Ben Lovejoy,playoffs,all,2014,2014-06-13,582.0
158,8473986,Alex Killorn,playoffs,all,2014,2014-06-13,626.0
159,8473991,Karl Alzner,playoffs,all,2014,2014-06-13,564.0
160,8474009,Nick Bonino,playoffs,all,2014,2014-06-13,574.0
161,8474013,Ian Cole,playoffs,all,2014,2014-06-13,558.0
162,8474031,Kevin Shattenkirk,playoffs,all,2014,2014-06-13,716.0
163,8474034,Patrick Maroon,playoffs,all,2014,2014-06-13,660.0
164,8474056,P.K. Subban,playoffs,all,2014,2014-06-13,606.0
165,8474066,Thomas Hickey,playoffs,all,2014,2014-06-13,578.0
166,8474068,Kyle Turris,playoffs,all,2014,2014-06-13,592.0
167,8474090,Brendan Smith,playoffs,all,2014,2014-06-13,548.0
168,8474091,Brandon Sutter,playoffs,all,2014,2014-06-13,602.0
169,8474096,Nick Spaling,playoffs,all,2014,2014-06-13,568.0
170,8474102,David Perron,playoffs,all,2014,2014-06-13,546.0
171,8474125,Carl Gunnarsson,playoffs,all,2014,2014-06-13,542.0
172,8474134,Yannick Weber,playoffs,all,2014,2014-06-13,584.0
173,8474141,Patrick Kane,playoffs,all,2014,2014-06-13,662.0
174,8474150,Mikael Backlund,playoffs,all,2014,2014-06-13,536.0
175,8474151,Ryan McDonagh,playoffs,all,2014,2014-06-13,578.0
176,8474157,Max Pacioretty,playoffs,all,2014,2014-06-13,670.0
177,8474168,Joakim Andersson,playoffs,all,2014,2014-06-13,556.0
178,8474176,Carl Hagelin,playoffs,all,2014,2014-06-13,580.0
179,8474189,Lars Eller,playoffs,all,2014,2014-06-13,608.0
180,8474291,Jay Beagle,playoffs,all,2014,2014-06-13,594.0
181,8474520,Jason Garrison,playoffs,all,2014,2014-06-13,524.0
182,8474564,Steven Stamkos,playoffs,all,2014,2014-06-13,626.0
183,8474565,Alex Pietrangelo,playoffs,all,2014,2014-06-13,654.0
184,8474569,Colin Wilson,playoffs,all,2014,2014-06-13,606.0
185,8474573,Josh Bailey,playoffs,all,2014,2014-06-13,608.0
186,8474574,Tyler Myers,playoffs,all,2014,2014-06-13,546.0
187,8474577,Joe Colborne,playoffs,all,2014,2014-06-13,500.0
188,8474578,Erik Karlsson,playoffs,all,2014,2014-06-13,602.0
189,8474579,Luca Sbisa,playoffs,all,2014,2014-06-13,542.0
190,8474590,John Carlson,playoffs,all,2014,2014-06-13,618.0
191,8474600,Roman Josi,playoffs,all,2014,2014-06-13,536.0
192,8474605,Patrick Wiercioch,playoffs,all,2014,2014-06-13,604.0
193,8474613,Derek Stepan,playoffs,all,2014,2014-06-13,592.0
194,8474618,Marco Scandella,playoffs,all,2014,2014-06-13,550.0
195,8474627,Jori Lehtera,playoffs,all,2014,2014-06-13,580.0
196,8474668,Dale Weise,playoffs,all,2014,2014-06-13,618.0
